"scenename","scenecontent","ep_number"
"Shrine entrance","MONK: Welcome, Commander. Please enter. The prophets await you.",401
"Shrine entrance","SISKO: Another time, perhaps.",401
"Shrine entrance","MONK: Another time. ",401
"Sisko's quarters","O'BRIEN: When my wife Keiko saw our quarters, she started talking about visiting her mother in Kumamoto. Sir, I wouldn't allow the boy to go roaming. We're still having some security problems.",401
"Sisko's quarters","JAKE: Dad, there is nothing to sleep on in there except a cushion on the floor.",401
"Sisko's quarters","O'BRIEN: We can get you a real bunk off the Enterprise. I almost forgot. Captain Picard wants to see you as soon as possible.",401
"Sisko's quarters","SISKO: He does. Any word on our science and medical officers yet?",401
"Sisko's quarters","O'BRIEN: They're expected tomorrow.",401
"Sisko's quarters","SISKO: Jake, I want you to stay here until I come back.",401
"Sisko's quarters","JAKE: Is this the food replicator?",401
"Sisko's quarters","O'BRIEN: I'm afraid they're all offline. There's plenty of emergency rations. I could send some down.",401
"Sisko's quarters","JAKE: Dad?",401
"Sisko's quarters","SISKO: We're going have to rough it til we get things up and running, Jake, okay?",401
"Sisko's quarters","JAKE: Okay.",401
"Sisko's quarters","SISKO: Okay. ",401
"Ops","(repairs going on here too)",401
"Ops","O'BRIEN: I'd like to ask the designer what he was thinking about when they built this place. I still haven't been able to find an ODN access. that's the Prefect's office up there.",401
"Ops","(the office is up some steps, with a view out over the whole of Ops)",401
"Ops","SISKO: So all others have to look up with respect. Cardassian architecture.",401
"Ops","O'BRIEN: Yes, sir. Major Kira's been using it.",401
"Ops","SISKO: Is it my imagination or is it unusually warm?",401
"Ops","O'BRIEN: The environmental controls in Ops are stuck at thirty-two C. We're working on it.",401
"Ops","(Raised voices can be heard coming from the office)",401
"Ops","SISKO: I guess it's time to meet Major Kira.",401
"Ops","O'BRIEN: Sir, have you ever served with any Bajoran women?",401
"Ops","SISKO: No. Why?",401
"Ops","O'BRIEN: I was just wondering, sir.",401
"Ops","KIRA [OC]: They've become meaningless.",401
"Ops","BUREAUCRAT [OC]: I just don't agree, Kira. ",401
"Commander's office","(The Major is a fiery red-head in a rust coloured uniform)",401
"Commander's office","KIRA: You are throwing it all away! All of you!",401
"Commander's office","BUREAUCRAT [on monitor]: You're being a fool!",401
"Commander's office","KIRA: Well then, don't ask my opinion next time!",401
"Commander's office","(turns off the monitor)",401
"Commander's office","KIRA: Yes?",401
"Commander's office","SISKO: I'm Benjamin Sisko.",401
"Commander's office","KIRA: I suppose you want the office.",401
"Commander's office","SISKO: Well, I thought I'd say hello first and then take the office, but we could do it in any order you'd like.",401
"Commander's office","KIRA: Hello.",401
"Commander's office","SISKO: Is something bothering you, Major?",401
"Commander's office","KIRA: You don't want to ask me that, Commander.",401
"Commander's office","SISKO: Why not?",401
"Commander's office","KIRA: Because I have the bad habit of telling the truth even when people don't want to hear it.",401
"Commander's office","SISKO: Perhaps I want to hear it.",401
"Commander's office","KIRA: I don't believe the Federation has any business being here.",401
"Commander's office","SISKO: The provisional government disagrees with you.",401
"Commander's office","KIRA: The provisional government and I don't agree on a lot of things which is probably why they've sent me to this god-forsaken place. I have been fighting for Bajoran independence since I was old enough to pick up a phaser. We finally drive the Cardassians out and what do our new leaders do? They call up the Federation and invite them right in.",401
"Commander's office","SISKO: The Federation is only here to help",401
"Commander's office","KIRA: Help us. Yes, I know. The Cardassians said the same thing sixty years ago.",401
"Commander's office","SISKO: Major, when I was ordered here, I requested a Bajoran national as my first officer. It made sense. It still does, at least to me. Now, you and I are going to have to",401
"Commander's office","(Beep)",401
"Commander's office","ODO [OC]: (mostly human but a very bland face) Yes, Major?",401
"Commander's office","KIRA: Odo, are you reading something at A-fourteen?",401
"Commander's office","ODO [on monitor]: My security array has been down for two hours. I'll meet you there.",401
"Commander's office","KIRA: We've been having a lot of break-ins lately. No need for you to come along, Commander.",401
"Commander's office","(So he follows her) ",401
"Assaying office","(Bajoran security (in grey) are coming down the stairs)  NOG: (a young Ferengi) Hurry up! Now.",401
"Assaying office","(The alien ransacking the shelves keeps going.)",401
"Assaying office","NOG: Now!",401
"Assaying office","(They leave through a broken piece of metal mesh onto the chaotic Promenade) ",401
"Promenade","ODO: All right, just stand where you are.",401
"Promenade","KIRA: Hold it!",401
"Promenade","(The alien throws a morning-star at Odo, who morphs his head so it goes straight through and sticks in the bulkhead behind him. The alien then tries to run, Odo grabs him and Sisko fires his phaser.)",401
"Promenade","SISKO: That's enough!",401
"Promenade","ODO: Who the hell are you?",401
"Promenade","KIRA: Odo, this is our new Starfleet Commander.",401
"Promenade","ODO: I don't allow weapons on the Promenade. That includes phasers. (The next actor played Trek's very first Ferengi - Armin Shimerman is back!)",401
"Promenade","QUARK: (a Ferengi) Nog? What's going on?",401
"Promenade","ODO: The boy's in a lot of trouble.",401
"Promenade","QUARK: Commander, my name is Quark. I used to run the local gambling establishment. This is my brother's boy. Surely you can see that he only has a peripheral involvement in all this. We're scheduled to depart tomorrow. If we could be permitted to take him, I promise you he will be severely",401
"Promenade","SISKO: That won't be possible. Take him to the brig.",401
"Promenade","(Nog is taken away and Quark goes back into the bar)",401
"Promenade","KIRA: Quark probably sent the two of them here to steal the ore samples in the first place.",401
"Promenade","SISKO: Major, there's a Ferengi legal tradition. It's called plea bargaining. I might let the boy go, but I want something in exchange from Mister Quark. Something very important.",401
"Promenade","O'BRIEN [OC]: O'Brien to Commander Sisko.",401
"Promenade","SISKO: Go ahead.",401
"Promenade","O'BRIEN [OC]: Sir, the Enterprise hailed us again. Captain Picard is waiting to see you.",401
"Promenade","SISKO: Acknowledged. This won't take long. ",401
"Observation lounge","PICARD: Come.",401
"Observation lounge","(Sisko enters)",401
"Observation lounge","PICARD: Commander. Yes, please, come in. Welcome to Bajor.",401
"Observation lounge","SISKO: It's been a long time, Captain.",401
"Observation lounge","PICARD: Have we met before?",401
"Observation lounge","SISKO: Yes, sir. We met in battle. I was on the Saratoga at Wolf 359.",401
"Observation lounge","(Oh dear, he's still carrying a grudge. Big pause.)",401
"Observation lounge","PICARD: I assume that you have been briefed on the events leading to the Cardassian withdrawal?",401
"Observation lounge","SISKO: Yes, sir. I understand they've spent the last half century robbing the planet of every valuable resource before abandoning it.",401
"Observation lounge","PICARD: They've left the Bajorans without a means of being self-sustaining. The relief efforts we've been coordinating are barely adequate. I've come to know the Bajorans. I'm a strong proponents for their entry into the Federation.",401
"Observation lounge","SISKO: Is it going to happen?",401
"Observation lounge","PICARD: Not easily. The ruling parties are at each others throats. Factions that were united against the Cardassians have resumed old conflicts.",401
"Observation lounge","SISKO: Sounds like they're not ready.",401
"Observation lounge","PICARD: Your job is to do everything short of violating the Prime Directive to make sure that they are. I have been made aware by Starfleet of your objections to this assignment. I would have thought that after three years spent at the Utopia Planitia yards, that you would be ready for a change.",401
"Observation lounge","SISKO: I have a son that I'm raising alone, Captain. This is not the ideal environment.",401
"Observation lounge","PICARD: Unfortunately as Starfleet officers, we do not always have the luxury to serve in an ideal environment.",401
"Observation lounge","SISKO: I realise that, sir, and I'm investigating the possibility of returning to Earth for civilian service.",401
"Observation lounge","PICARD: Perhaps Starfleet Command should be considering a replacement for you.",401
"Observation lounge","SISKO: That's probably a good idea.",401
"Observation lounge","PICARD: I'll look into it. In the meantime however SISKO: In the meantime, I will do the job I've been ordered to do to the best of my ability, sir.",401
"Observation lounge","PICARD: Dismissed. ",401
"Security office","(the main desk looks out through glass doors straight onto the Promenade)",401
"Security office","SISKO: It's really quite simple, Quark. You're not going to leave.",401
"Security office","QUARK: Not going to leave? But we're packed and ready to go.",401
"Security office","SISKO: Unpack.",401
"Security office","QUARK: I don't understand, Commander. Why would you want me to stay?",401
"Security office","ODO: I'm curious myself. The man is a gambler and a thief.",401
"Security office","QUARK: I'm not a thief.",401
"Security office","ODO: You are a thief.",401
"Security office","QUARK: If I am, you haven't been able to prove it for four years.",401
"Security office","SISKO: Please. My officers, the Bajoran engineers, all their families depend on the shops and services of this Promenade. If people like you abandon it, this is going to become a ghost town. We need someone to step forward and say, I'm staying, I'm rebuilding. We need a community leader and it's going to be you, Quark.",401
"Security office","QUARK: Community leader?",401
"Security office","ODO: Seems reasonable. You have all the character references of a politician.",401
"Security office","QUARK: How could I possibly operate my establishment under Starfleet rules of conduct?",401
"Security office","SISKO: This is still a Bajoran station. We're just here to administrate. You run honest games, you won't have any problems from me.",401
"Security office","QUARK: Commander, I've made a career out of knowing when to leave, and this Bajoran provisional government is far too provisional for my taste. And when governments fall, people like me are lined up and shot.",401
"Security office","SISKO: There is that risk but then, you are a gambler, Quark.",401
"Security office","ODO: And a thief.",401
"Security office","SISKO: You know, Quark, that poor kid is about to spend the best years of his life in a Bajoran prison. I'm a father myself. I know what your brother must be going through. The boy should be with his family, not in some cold jail cell. Think about it. It's up to you.",401
"Security office","(Sisko leaves)",401
"Security office","ODO: You know, at first, I didn't think I was going to like him. ",401
"Promenade","(Kira is across the way in her 'shirt sleeves', hefting debris into a skip.)",401
"Promenade","SISKO: Major? KIRA: Everyone else is busy repairing the primary systems. I suppose Starfleet officers aren't used to getting their hands dirty.",401
"Promenade","(So Sisko moves rubbish too)",401
"Promenade","KIRA: In the refugee camps, we learned to do whatever needed to be done. Didn't matter who you were.",401
"Promenade","SISKO: I was just talking with our good neighbour, Quark. Te's laying odds that the government's going to fall.",401
"Promenade","KIRA: Quark knows a good bet when he hears one. This government will be gone in a week and so will you.",401
"Promenade","SISKO: What happens to Bajor then?",401
"Promenade","KIRA: Civil war.",401
"Promenade","SISKO: You think it's inevitable?",401
"Promenade","KIRA: The only one who can prevent it is Opaka.",401
"Promenade","SISKO: Opaka?",401
"Promenade","KIRA: Our spiritual leader. She's known as the Kai. Our religion is the only thing that holds my people together. If she would call for unity, they'd listen. Leaders of all the factions have tried to get to her, but she lives in seclusion, rarely sees anyone.",401
"Promenade","MONK: Commander. It is time. ",401
"Bajor Monastery","(Down on the planet, the sacred place is a site of desecration, with chanting in the background. Sisko is met in a colonnade by a short, stout, brisk woman. )",401
"Bajor Monastery","OPAKA: I apologise for the condition in which we greet you.",401
"Bajor Monastery","SISKO: The Cardassians?",401
"Bajor Monastery","(they sit by a pool)",401
"Bajor Monastery","OPAKA: Your arrival has been greatly anticipated.",401
"Bajor Monastery","(She caresses his left ear.)",401
"Bajor Monastery","OPAKA: Have you ever explored your pagh, Commander?",401
"Bajor Monastery","SISKO: Pagh?",401
"Bajor Monastery","OPAKA: A Bajoran draws courage from his spiritual life. Our life-force, our pagh, is replenished by the Prophets.",401
"Bajor Monastery","(She squeezes the lobe.)",401
"Bajor Monastery","OPAKA: Breathe.",401
"Bajor Monastery","SISKO: Kai Opaka, if we could discuss",401
"Bajor Monastery","OPAKA: Breathe! Ironic. One who does not wish to be among us is to be the Emissary. Please, come with me.",401
"Bajor Monastery","(She touches a control and the pool reveals itself to be a hologram hiding a staircase downwards) ",401
"Secret cavern","OPAKA: You are correct that Bajor is in grave jeopardy, but it is the threat to our spiritual life that far outweighs any other.",401
"Secret cavern","SISKO: Perhaps, but I'm powerless until",401
"Secret cavern","OPAKA: Commander. I cannot give you what you deny yourself.",401
"Secret cavern","SISKO: I'm sorry?",401
"Secret cavern","OPAKA: Look for solutions from within, Commander. Come with me.",401
"Secret cavern","(She opens a case to reveal a floating, green glowing bolus - an Orb)",401
"Secret cavern","SISKO: What is it?",401
"Secret cavern","OPAKA: The Tear of the Prophet. ",401
"Vision - Beach","SISKO: What the hell? Opaka?",401
"Vision - Beach","(He's holding a tray of drinks and the sand is very hot. He hops and runs to the nearest towel, kicking sand onto a young woman.)",401
"Vision - Beach","JENNIFER: Hey!",401
"Vision - Beach","SISKO: I'm sorry. it's just that this. Jen?",401
"Vision - Beach","JENNIFER: Yes?",401
"Vision - Beach","SISKO: Jennifer?",401
"Vision - Beach","JENNIFER: I'm sorry did we meet last night at George's party?",401
"Vision - Beach","SISKO: George? Jennifer. Wait a minute. This is impossible.",401
"Vision - Beach","JENNIFER: Are you okay?",401
"Vision - Beach","SISKO: I know this place. This is Gilgo beach, where we met.",401
"Vision - Beach","JENNIFER: We met here before?",401
"Vision - Beach","SISKO: I was carrying three lemonades. The sand was burning my feet, and I stopped here to. Ow! Do you realise how incredible this is? No, of course you don't. I. Jennifer, have a lemonade.",401
"Vision - Beach","JENNIFER: I'm afraid I don't accept drinks from strange men on the beach.",401
"Vision - Beach","(He leaves the drinks and follows her along the beach.)",401
"Vision - Beach","JENNIFER: So tell me the truth. Have we really meet before?",401
"Vision - Beach","SISKO: No.",401
"Vision - Beach","JENNIFER: Then how did you know my name?",401
"Vision - Beach","SISKO: I, er, George told me, at the party.",401
"Vision - Beach","JENNIFER: Are you going to tell me your name?",401
"Vision - Beach","SISKO: Oh. Ben Sisko. I just graduated from Starfleet Academy. I'm waiting for my first posting.",401
"Vision - Beach","JENNIFER: Ah, a junior officer.",401
"Vision - Beach","SISKO: Yeah.",401
"Vision - Beach","JENNIFER: My mother warned me to watch out for junior officers.",401
"Vision - Beach","SISKO: Your mother is going to adore me.",401
"Vision - Beach","JENNIFER: You're awfully sure of yourself.",401
"Vision - Beach","SISKO: It's not every day you meet the girl you're going to marry.",401
"Vision - Beach","JENNIFER: Do you use this routine a lot with women?",401
"Vision - Beach","SISKO: No. Never before and never again.",401
"Vision - Beach","JENNIFER: Sure.",401
"Vision - Beach","SISKO: How about letting me cook dinner for you tonight. My father was a gourmet chef. I will make for you his famous aubergine stew.",401
"Vision - Beach","JENNIFER: I don't know.",401
"Vision - Beach","SISKO: You're supposed to say, yes!",401
"Vision - Beach","JENNIFER: I'll probably be sorry.",401
"Vision - Beach","(The orb appears)",401
"Vision - Beach","SISKO: Jennifer! ",401
"Secret cavern","(Opaka closes the Orb case.)",401
"Secret cavern","OPAKA: Nine Orbs, like this one, have appeared in the skies over the past ten thousand years. The Cardassians took the others. You must find the Celestial Temple before they do.",401
"Secret cavern","SISKO: The Celestial Temple?",401
"Secret cavern","OPAKA: Tradition says the orbs were sent by the Prophets to teach us. What we have learned has shaped our theology. The Cardassians will do anything to decipher their powers. If they discover the Celestial Temple, they could destroy it.  SISKO: What makes you think I can find your Temple?",401
"Secret cavern","(Opaka hands him the Orb box.)",401
"Secret cavern","OPAKA: This will help you.",401
"Secret cavern","SISKO: Kai Opaka.",401
"Secret cavern","OPAKA: I can't unite my people till I know the Prophets have been warned. You will find the Temple. Not for Bajor, not for the Federation, but for your own pagh. It is, quite simply, Commander, the journey you have always been destined to take. ",401
"Jake's room","(Jake is sleeping on the floor and wearing a baseball glove when Sisko goes in to put a blanket on him)",401
"Jake's room","JAKE: What?",401
"Jake's room","SISKO: I was just thinking how much you look like your mom.",401
"Jake's room","KIRA [OC]: Kira to Sisko.",401
"Jake's room","SISKO: Go ahead.",401
"Jake's room","KIRA [OC]: Sorry to disturb you, Commander, but there's something on the Promenade you might want to see.",401
"Jake's room","SISKO: On my way. ",401
"Promenade","(There's laughter and voices coming from a lit-up area) ",401
"Quark's","(Customers are happy, drinking, talking, an alien is playing music on a pile of stones, and there is a gaming wheel.)",401
"Quark's","PIT BOSS: Step up, step up. Fortune's fates are with you today, friends.",401
"Quark's","GIRL: Dabo!",401
"Quark's","ALIEN: (female) That's fine. I'll be right back.",401
"Quark's","GIRL: Dabo!",401
"Quark's","(Quark is behind his bar)",401
"Quark's","QUARK: What'll you have, Commander? SISKO: How's the local synthale?",401
"Quark's","QUARK: You won't like it. I love the Bajorans. Such a deeply spiritual culture, but they make a dreadful ale. Never trust ale from a god-fearing people, or a Starfleet Commander that has one of your relatives in jail.",401
"Quark's","GIRL [OC]: Dabo! ",401
"Quark's","Station log. Stardate 46390.1. The Enterprise has been ordered to the Lapolis system. They're scheduled to depart at zero-five hundred hours after offloading three runabout class vessels. Meanwhile, our medical and science officers are arriving, and I'm looking forward to a reunion with a very old friend. ",401
"Promenade","(Exiting the airlock)",401
"Promenade","KIRA: Commander, if you'd like me to give them a tour of the station.",401
"Promenade","SISKO: You and Doctor Bashir go ahead. I'm afraid I have to put Lieutenant Dax to work right away.",401
"Promenade","BASHIR: (young, Middle-Eastern male) Jadzia, maybe we could get together later for dinner? Or a drink?",401
"Promenade","DAX: (a Trill female) I'd be delighted.",401
"Promenade","SISKO: He's a little young for you, isn't he?",401
"Promenade","DAX: He's twenty-seven, I'm twenty-eight.",401
"Promenade","SISKO: Three hundred twenty-eight, maybe. Did you tell him about that slug inside of you?",401
"Promenade","DAX: Yes, but Benjamin, he knows I'm a Trill. He finds it fascinating. He's never met a joined species before.",401
"Promenade","SISKO: I wonder if he'd've been as fascinated if you still looked the way you did the last time I saw you.",401
"Promenade","DAX: Perhaps not.",401
"Promenade","SISKO: This is going to take some getting used to.",401
"Promenade","DAX: Don't be ridiculous. I'm still the same old Dax. More or less. ",401
"Infirmary","KIRA: I'm afraid we've had some security problems. Looks like looters got in here.",401
"Infirmary","BASHIR: This'll be perfect. Real frontier medicine.",401
"Infirmary","KIRA: Frontier medicine?",401
"Infirmary","BASHIR: Major, I had my choice of any job in the fleet.",401
"Infirmary","KIRA: Did you?",401
"Infirmary","BASHIR: I didn't want some cushy job or a research grant. I wanted this. The farthest reaches of the galaxy. One of the most remote outposts available. This is where the adventure is. This is where heroes are made. Right here, in the wilderness.",401
"Infirmary","KIRA: This wilderness is my home.",401
"Infirmary","BASHIR: Well, I, I, I didn't mean.",401
"Infirmary","KIRA: The Cardassians left behind a lot of injured people, Doctor. You can make yourself useful by bringing your Federation medicine to the natives. Oh, you'll find them a friendly, simple folk. ",401
"Laboratory","(The Orb in under scrutiny)",401
"Laboratory","SISKO: We do have one advantage. The monks have been studying these things for ten thousand years. I've had our computers set up to interface with their historical data banks.",401
"Laboratory","DAX: That should give us something.",401
"Laboratory","SISKO: Soon as possible, Dax. The eight other orbs are probably in some Cardassian laboratory, being turned upside down and inside out.",401
"Laboratory","DAX: Benjamin, I was happy when I heard you accepted this assignment. I've been worried about you.",401
"Laboratory","SISKO: It's good to see you too, old man.",401
"Laboratory","(Sisko leaves)",401
"Laboratory","DAX: Computer, create a data base for all historical references to the Orbs, including all reports of any unexplained phenomena in Bajoran space.",401
"Laboratory","COMPUTER: Time parameters?",401
"Laboratory","DAX: Ten millennia.",401
"Laboratory","COMPUTER: Initialising data base. Requested function will require two hours to complete.",401
"Laboratory","(Dax releases the forcefield around the Orb. Green flash.) ",401
"Vision - Operating room","(Dax is on an operating table next to an old man)",401
"Vision - Operating room","DAX: Curzon.",401
"Vision - Operating room","(The old man smiles at her, then the symbiot is transferred from him to her.) ",401
"Bridge","(Nightshift on the Enterprise. O'Brien hesitates outside the Ready room.)",401
"Bridge","LIEUTENANT: (woman) The Captain's in the Ready room, Chief. Should I tell him you're here?",401
"Bridge","O'BRIEN: That's okay. Thanks. ",401
"Transporter room","O'BRIEN: Transport me to the Ops pad, Maggie.",401
"Transporter room","MAGGIE: Yes, sir.",401
"Transporter room","PICARD: Mister O'Brien? I understand that I just missed you on the Bridge.",401
"Transporter room","O'BRIEN: Yes, sir. I didn't want to disturb you, sir.",401
"Transporter room","PICARD: Ensign.",401
"Transporter room","(Maggie leaves)",401
"Transporter room","PICARD: This is your favorite transporter room, isn't it?",401
"Transporter room","O'BRIEN: Number three. Yes, sir.",401
"Transporter room","PICARD: You know, yesterday, I called down here and I asked for you without thinking. It won't be quite the same.",401
"Transporter room","O'BRIEN: It's just a transporter room, sir. Permission to disembark, Captain.",401
"Transporter room","PICARD: Permission granted.",401
"Transporter room","O'BRIEN: Energise.",401
"Transporter room","(Picard beams him out, and the Enterprise leaves for its next mission) ",401
"Ops","(A Cardassian warship is on the viewscreen)",401
"Ops","O'BRIEN: Message coming in from their commander, Gul Dukat.",401
"Ops","KIRA: Dukat. He used to be the Cardassian Prefect of Bajor.",401
"Ops","O'BRIEN: He's requesting permission to come aboard to greet us. Surely a coincidence that the Enterprise just left.",401
"Ops","SISKO: Mister O'Brien, tell Gul Dukat I look forward to meeting him. ",401
"Commander's office","DUKAT: Good day, Commander.",401
"Commander's office","SISKO: Gul Dukat.",401
"Commander's office","DUKAT: Excuse my presumption, but this was my office only two weeks ago. I'm not used to being on this side of the desk. I'll be honest with you, Commander. I miss this office. I was not happy to leave it.",401
"Commander's office","SISKO: Drop by any time you're feeling homesick.",401
"Commander's office","DUKAT: You're very gracious. And allow me to assure you that we only want to be helpful in this difficult transition. You're far from the Federation fleet, alone in this remote outpost, with poor defence systems. Your Cardassian neighbours will be quick to respond to any problems you might have.",401
"Commander's office","SISKO: We'll try to keep the dog off your lawn.",401
"Commander's office","DUKAT: So, tell me, what did you think of Kai Opaka? I know you went to the surface to see her. I understand you brought back an Orb. We thought we had all of them. Perhaps we could have an exchange of information, pool our resources?",401
"Commander's office","SISKO: I don't know anything about an Orb.",401
"Commander's office","DUKAT: We will be in close proximity should you wish to reconsider my suggestion. In the meantime, I assume you have no objection to my men enjoying the hospitality of the Promenade. Commander. ",401
"Laboratory","DAX: What do you know about the Denorios Belt?",401
"Laboratory","SISKO: Your basic charged-plasma field. Nobody gets anywhere near it unless they have to.",401
"Laboratory","DAX: In the twenty-second century, a ship carrying Kai Taluno was disabled for several days in the Denorios Belt, where he claims he had a vision.",401
"Laboratory","SISKO: Let me guess. He saw the Celestial Temple of the Prophets.",401
"Laboratory","DAX: Not quite, but he did say that the heavens opened up and nearly swallowed his ship.",401
"Laboratory","SISKO: Are we reduced to chasing metaphors to solve this?",401
"Laboratory","DAX: That's not all. At least five of the orbs were found in the Denorios Belt. There were also been twenty three navigational reports over the years of unusually severe neutrino disturbances in the same area. I've correlated all these reports in one analysis grid. Our Celestial Temple?",401
"Laboratory","SISKO: Worth a look, but we've got Cardassians on our back doorstep. We need to get by them undetected. ",401
"Quark's","(The Cardassians are having a great time, and winning, when Kira and O'Brien walk in.)",401
"Quark's","KIRA: May we have your attention, please? This establishment is being closed.",401
"Quark's","QUARK: What do you mean? You can't do this.",401
"Quark's","O'BRIEN: If you have a problem, sir, you'll have to take it up with Commander Sisko.",401
"Quark's","QUARK: I intend to. This is outrageous. Friends, my apologies. A minor misunderstanding that will be rectified shortly. Give them something to put their winnings into.",401
"Quark's","(A waiter hands over a knapsack.) ",401
"Warship corridor","CARDASSIAN: Because we were winning too much, of course.",401
"Warship corridor","CARDASSIAN 2: Leave it to Starfleet to ruin a fine day.",401
"Warship corridor","(The knapsack is put into a locker where it turns into orange ooze, leaks out to the floor and rebuilds itself as Odo.) ",401
"Runabout Rio Grande","SISKO: Rio Grande to Ops. Initialising pre-launch systems.",401
"Runabout Rio Grande","KIRA [OC]: Confirmed, Rio Grande. ",401
"Ops","O'BRIEN: Scanners are picking up fluctuations in the Cardassian's energy distribution net.",401
"Ops","KIRA: Their computers are crashing. Shields and sensors are down. Odo's done it. Ops to Rio Grande. ",401
